id,book_url,Book-Title,Book-Author,author_url,score,ISBN,rating,rating_count,review_count,page_count,year,genres
2767052,/book/show/2767052-the-hunger-games,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,https://www.goodreads.com/author/show/153394.Suzanne_Collins,2959668,9780439023481,4.33,6223460,169961,374,2008,Young Adult
2,/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,https://www.goodreads.com/author/show/1077326.J_K_Rowling,2603171,9780439358071,4.50,2429708,40758,870,2004,Fantasy
2657,/book/show/2657.To_Kill_a_Mockingbird,To Kill a Mockingbird,Harper Lee,https://www.goodreads.com/author/show/1825.Harper_Lee,2235010,null,4.28,4377280,89241,324,2006,Classics
1885,/book/show/1885.Pride_and_Prejudice,Pride and Prejudice,Jane Austen,https://www.goodreads.com/author/show/1265.Jane_Austen,1942736,null,4.26,2905431,64486,279,2000,Classics
41865,/book/show/41865.Twilight,"Twilight (Twilight, #1)",Stephenie Meyer,https://www.goodreads.com/author/show/941441.Stephenie_Meyer,1452846,9780316015844,3.59,4839503,102492,501,2006,Young Adult
19063,/book/show/19063.The_Book_Thief,The Book Thief,Markus Zusak,https://www.goodreads.com/author/show/11466.Markus_Zusak,1343484,9780375831003,4.37,1779061,111157,552,2006,Historical
170448,/book/show/170448.Animal_Farm,Animal Farm,George Orwell,https://www.goodreads.com/author/show/3706.George_Orwell,1253753,9780451526342,3.94,2652114,53595,141,1996,Classics
11127,/book/show/11127.The_Chronicles_of_Narnia,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",C.S. Lewis,https://www.goodreads.com/author/show/1069006.C_S_Lewis,1225547,null,4.26,501176,10177,767,2002,Fantasy
30,/book/show/30.J_R_R_Tolkien_4_Book_Boxed_Set,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,https://www.goodreads.com/author/show/656983.J_R_R_Tolkien,1139751,9780345538376,4.60,108111,1736,1728,2012,Fantasy
18405,/book/show/18405.Gone_with_the_Wind,Gone with the Wind,Margaret Mitchell,https://www.goodreads.com/author/show/11081.Margaret_Mitchell,1082448,9780446675536,4.30,1057937,19446,1037,1999,Classics
11870085,/book/show/11870085-the-fault-in-our-stars,The Fault in Our Stars,John Green,https://www.goodreads.com/author/show/1406384.John_Green,1071625,null,4.21,3439515,154103,313,2012,Young Adult
386162,/book/show/386162.The_Hitchhiker_s_Guide_to_the_Galaxy,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,https://www.goodreads.com/author/show/4.Douglas_Adams,1051406,null,4.22,1390643,29077,193,2007,Science Fiction
370493,/book/show/370493.The_Giving_Tree,The Giving Tree,Shel Silverstein,https://www.goodreads.com/author/show/435477.Shel_Silverstein,1012345,9780060256654,4.38,882195,17375,64,1964,Childrens
6185,/book/show/6185.Wuthering_Heights,Wuthering Heights,Emily Brontë,https://www.goodreads.com/author/show/4191.Emily_Bront_,966234,9780393978896,3.86,1308276,35729,464,2002,Classics
968,/book/show/968.The_Da_Vinci_Code,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,https://www.goodreads.com/author/show/630.Dan_Brown,867513,9780307277671,3.85,1887312,46482,489,2006,Fiction
929,/book/show/929.Memoirs_of_a_Geisha,Memoirs of a Geisha,Arthur Golden,https://www.goodreads.com/author/show/614.Arthur_Golden,856841,9781400096893,4.12,1687317,29556,503,2005,Fiction
5297,/book/show/5297.The_Picture_of_Dorian_Gray,The Picture of Dorian Gray,Oscar Wilde,https://www.goodreads.com/author/show/3565.Oscar_Wilde,845532,null,4.08,932074,29142,272,2004,Classics
24213,/book/show/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass,Alice's Adventures in Wonderland & Through the Looking-Glass,Lewis Carroll,https://www.goodreads.com/author/show/8164.Lewis_Carroll,825095,9780451527745,4.06,446019,10321,239,2000,Classics
10210,/book/show/10210.Jane_Eyre,Jane Eyre,Charlotte Brontë,https://www.goodreads.com/author/show/1036615.Charlotte_Bront_,812420,9780142437209,4.12,1585265,40876,532,2003,Classics
24280,/book/show/24280.Les_Mis_rables,Les Misérables,Victor Hugo,https://www.goodreads.com/author/show/13661.Victor_Hugo,803967,null,4.17,670386,17090,1463,1987,Classics
13335037,/book/show/13335037-divergent,"Divergent (Divergent, #1)",Veronica Roth,https://www.goodreads.com/author/show/4039811.Veronica_Roth,783461,9780062024039,4.20,2827116,107478,487,2012,Young Adult
13079982,/book/show/13079982-fahrenheit-451,Fahrenheit 451,Ray Bradbury,https://www.goodreads.com/author/show/1630.Ray_Bradbury,775373,null,3.99,1623608,46066,194,2011,Classics
18135,/book/show/18135.Romeo_and_Juliet,Romeo and Juliet,William Shakespeare,https://www.goodreads.com/author/show/947.William_Shakespeare,763807,9780743477116,3.75,2014766,18919,368,2004,Classics
7624,/book/show/7624.Lord_of_the_Flies,Lord of the Flies,William Golding,https://www.goodreads.com/author/show/306.William_Golding,763296,9780140283334,3.68,2211621,36274,182,1999,Classics
18144590,/book/show/18144590-the-alchemist,The Alchemist,Paulo Coelho,https://www.goodreads.com/author/show/566.Paulo_Coelho,755950,9780062315007,3.87,2025846,77720,182,2014,Fiction
7144,/book/show/7144.Crime_and_Punishment,Crime and Punishment,Fyodor Dostoyevsky,https://www.goodreads.com/author/show/3137322.Fyodor_Dostoyevsky,748386,9780143058144,4.22,604962,18302,671,2002,Cultural
22628,/book/show/22628.The_Perks_of_Being_a_Wallflower,The Perks of Being a Wallflower,Stephen Chbosky,https://www.goodreads.com/author/show/12898.Stephen_Chbosky,745557,null,4.20,1219410,56409,213,1999,Young Adult
4671,/book/show/4671.The_Great_Gatsby,The Great Gatsby,F. Scott Fitzgerald,https://www.goodreads.com/author/show/3190.F_Scott_Fitzgerald,735009,null,3.92,3676589,65497,200,2004,Classics
375802,/book/show/375802.Ender_s_Game,"Ender's Game (Ender's Saga, #1)",Orson Scott Card,https://www.goodreads.com/author/show/589.Orson_Scott_Card,715868,9780812550702,4.30,1102823,42828,324,2004,Science Fiction
256683,/book/show/256683.City_of_Bones,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,https://www.goodreads.com/author/show/150038.Cassandra_Clare,713154,9781416914280,4.10,1577035,60639,485,2007,Fantasy
4667024,/book/show/4667024-the-help,The Help,Kathryn Stockett,https://www.goodreads.com/author/show/1943477.Kathryn_Stockett,710275,null,4.47,2107121,84112,451,2009,Fiction
8127,/book/show/8127.Anne_of_Green_Gables,"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,https://www.goodreads.com/author/show/5350.L_M_Montgomery,684784,9780451528827,4.26,702861,21712,320,2003,Classics
24178,/book/show/24178.Charlotte_s_Web,Charlotte's Web,E.B. White,https://www.goodreads.com/author/show/988142.E_B_White,673932,9780064410939,4.17,1375820,17561,184,2001,Classics
157993,/book/show/157993.The_Little_Prince,The Little Prince,Antoine de Saint-Exupéry,https://www.goodreads.com/author/show/1020792.Antoine_de_Saint_Exup_ry,667088,null,4.31,1299413,37901,93,2000,Classics
18619684,/book/show/18619684-the-time-traveler-s-wife,The Time Traveler's Wife,Audrey Niffenegger,https://www.goodreads.com/author/show/498072.Audrey_Niffenegger,663179,9781939126016,3.97,1546508,46891,500,2013,Fiction
890,/book/show/890.Of_Mice_and_Men,Of Mice and Men,John Steinbeck,https://www.goodreads.com/author/show/585.John_Steinbeck,661347,9780142000670,3.87,1899899,33189,103,2002,Classics
3,/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,https://www.goodreads.com/author/show/1077326.J_K_Rowling,655192,null,4.47,6808998,108606,309,2003,Fantasy
17245,/book/show/17245.Dracula,Dracula,Bram Stoker,https://www.goodreads.com/author/show/6988.Bram_Stoker,636610,9780393970128,4.00,907768,24683,488,1986,Classics
5129,/book/show/5129.Brave_New_World,Brave New World,Aldous Huxley,https://www.goodreads.com/author/show/3487.Aldous_Huxley,627857,9780060929879,3.99,1401554,29057,288,1998,Classics
320,/book/show/320.One_Hundred_Years_of_Solitude,One Hundred Years of Solitude,Gabriel García Márquez,https://www.goodreads.com/author/show/13450.Gabriel_Garc_a_M_rquez,613129,null,4.08,731495,29544,417,2003,Fiction
21787,/book/show/21787.The_Princess_Bride,The Princess Bride,William Goldman,https://www.goodreads.com/author/show/12521.William_Goldman,595614,9780345418265,4.26,762394,19767,456,2003,Fantasy
5107,/book/show/5107.The_Catcher_in_the_Rye,The Catcher in the Rye,J.D. Salinger,https://www.goodreads.com/author/show/819789.J_D_Salinger,592792,9780316769174,3.81,2672713,55972,277,2001,Classics
2998,/book/show/2998.The_Secret_Garden,The Secret Garden,Frances Hodgson Burnett,https://www.goodreads.com/author/show/2041.Frances_Hodgson_Burnett,578636,9780517189603,4.14,865020,18054,331,1998,Classics
128029,/book/show/128029.A_Thousand_Splendid_Suns,A Thousand Splendid Suns,Khaled Hosseini,https://www.goodreads.com/author/show/569.Khaled_Hosseini,574542,9781594489501,4.37,1118605,52859,372,2007,Fiction
28187,/book/show/28187.The_Lightning_Thief,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,https://www.goodreads.com/author/show/15872.Rick_Riordan,573399,9780786838653,4.25,1922316,58816,375,2006,Fantasy
33574273,/book/show/33574273-a-wrinkle-in-time,"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,https://www.goodreads.com/author/show/106.Madeleine_L_Engle,557843,9781250153272,4.00,1031642,33451,218,2017,Fantasy
13496,/book/show/13496.A_Game_of_Thrones,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,https://www.goodreads.com/author/show/346732.George_R_R_Martin,555166,9780553588484,4.45,1953966,53879,835,2005,Fantasy
2956,/book/show/2956.The_Adventures_of_Huckleberry_Finn,The Adventures of Huckleberry Finn,Mark Twain,https://www.goodreads.com/author/show/1244.Mark_Twain,513842,9780142437179,3.82,1135929,15195,327,2002,Classics
12232938,/book/show/12232938-the-lovely-bones,The Lovely Bones,Alice Sebold,https://www.goodreads.com/author/show/316.Alice_Sebold,508104,9780316166683,3.81,1977504,40105,372,2006,Fiction
231804,/book/show/231804.The_Outsiders,The Outsiders,S.E. Hinton,https://www.goodreads.com/author/show/762707.S_E_Hinton,500414,null,4.10,908741,32350,192,1997,Classics
19543,/book/show/19543.Where_the_Wild_Things_Are,Where the Wild Things Are,Maurice Sendak,https://www.goodreads.com/author/show/4489.Maurice_Sendak,499812,9780099408390,4.22,794735,11579,37,2000,Childrens
